"go_aversr_horse=>history:16.8573, today:16.6219",2019-02-24 00:40:58
"act_delta=>history:-1, today:2",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.4365, today:17.1759",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.0767, today:16.8682",2019-02-24 00:40:58
"actual_wt=>history:124, today:126",2019-02-24 00:40:58
"act_delta=>history:-2, today:0",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.0444, today:17.0484",2019-02-24 00:40:58
"actual_wt=>history:121, today:124",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.1198, today:17.019",2019-02-24 00:40:58
"act_delta=>history:-2, today:1",2019-02-24 00:40:58
"actual_wt=>history:124, today:127",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:16.5753, today:16.5142",2019-02-24 00:40:58
"act_delta=>history:-1, today:2",2019-02-24 00:40:58
"actual_wt=>history:119, today:126",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.2276, today:17.2191",2019-02-24 00:40:58
"act_delta=>history:-6, today:1",2019-02-24 00:40:58
"actual_wt=>history:119, today:122",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:16.859, today:16.6257",2019-02-24 00:40:58
"act_delta=>history:-7, today:-4",2019-02-24 00:40:58
"actual_wt=>history:123, today:125",2019-02-24 00:40:58
"act_delta=>history:-4, today:-2",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.2592, today:16.9339",2019-02-24 00:40:58
